Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.82     0.00       15     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      6.82     0.00       15     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      6.82     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > > >::__normal_iterator(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >* const&)
  0.00      6.82     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      6.82     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      6.82     0.00       14     0.00     0.00  std::_Vector_base<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >::_M_get_Tp_allocator() const
  0.00      6.82     0.00       14     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      6.82     0.00       14     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      6.82     0.00       14     0.00     0.00  std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >::max_size() const
  0.00      6.82     0.00       14     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      6.82     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      6.82     0.00       14     0.00     0.00  std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >::_S_max_size(std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > const&)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >::_S_relocate(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >&)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >::_S_do_relocate(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >*, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >&, std::integral_constant<bool, true>)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >::_S_use_relocate()
  0.00      6.82     0.00       14     0.00     0.00  std::vector<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >, std::allocator<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > > >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<double, std::allocator<double> >::_S_relocate(double*, double*, double*, std::allocator<double>&)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<double, std::allocator<double> >::_S_do_relocate(double*, double*, double*, std::allocator<double>&, std::integral_constant<bool, true>)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<double, std::allocator<double> >::_S_use_relocate()
  0.00      6.82     0.00       14     0.00     0.00  std::vector<double, std::allocator<double> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      6.82     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::_S_use_relocate()
  0.00      6.82     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
